Model	Item	Part No.	Alternate No.	Part Description (TCLNA)	Price
TAC-08CPA/HA	6	1175032001B		Step motor	$21.60
TAC-08CPA/HA	9	810900379		Display board	$41.80
TAC-08CPA/HA	12	8090950003B		Receiver board	$14.88
TAC-08CPA/HA	18	1170100044		Fan motor capacitor	$5.68
TAC-08CPA/HA	23	1175032007		Sensor resistance	$8.04
TAC-08CPA/HA	45	8070032005		Casters	$3.24
TAC-08CPA/HA	47	810700027		Stopper	$1.54
TAC-08CPA/HA	53	810700491		Filter of evaporator	$5.36
TAC-08CPA/HA	56	214106113A		Cover of drainage hose	$0.40
TAC-08CPA/HA	57	210703297		Seal	$2.00
TAC-08CPA/HA	58	210703134		Fixer of drainage cover	$2.75
TAC-08CPA/HA	59	8120120025A		Exhaust Hose	$9.00
TAC-08CPA/HA	60	810700396		Hose inlet	$4.26
TAC-08CPA/HA	61	810700693		Window slider	$14.54
TAC-08CPA/HA	62	810700345A		Hose outlet	$4.75
TAC-08CPA/HA	64	810900417B		Remote controller	$12.87
TAC-10CPA/HA	23	1175032007		Sensor resistance	$8.04
TAC-10CPA/HA	45	8070032005		Casters	$3.24
TAC-10CPA/HA	47	810700027		Stopper	$1.54
TAC-10CPA/HA	53	810700491		Filter of evaporator	$5.36
TAC-10CPA/HA	56	214106113A		Cover of drainage hose	$0.40
TAC-10CPA/HA	57	210703297		Seal	$2.00
TAC-10CPA/HA	58	210703134		Fixer of drainage cover	$2.75
TAC-10CPA/HA	59	8120120025A		Exhaust Hose	$9.00
TAC-10CPA/HA	60	810700396		Hose inlet	$4.26
TAC-10CPA/HA	61	810700693		Window slider	$14.54
TAC-10CPA/HA	62	810700345A		Hose outlet	$4.75
TAC-10CPA/HA	64	810900417B		Remote controller	$12.87
TAC-12CPA/HA		210703297	41214-001058	Gasket of Cap	$2.00
TAC-12CPA/HA		810701160		caster, set of four	$3.92
TAC-12CPA/HA		810900379		Display board	$41.80
TAC-12CPA/HA		210703134		Drain Cap Tether	$2.75
TAC-12CPA/HA		810701052B		Drain Hose Cap	$0.85
TAC-12CPA/HA		1075032001A		Exhaust Hose	$9.00
TAC-12CPA/HA		1170100044		Fan motor capacitor	$5.68
TAC-12CPA/HA		810700491		Filter	$5.36
TAC-12CPA/HA		810701089		Hose inlet	$3.60
TAC-12CPA/HA		810700027		Lower drain plug	$1.54
TAC-12CPA/HA		8090950003B		Receiver board	$14.88
TAC-12CPA/HA		810900417B		Remote controller	$12.87
TAC-12CPA/HA		1175032007		Sensor resistance	$8.04
TAC-12CPA/HA		1175032001B		Step motor	$21.60
TAC-12CPA/HA		810700693		Window slider,  Circle 5"	$14.54
TAW15CRE19	1.4	210736555	42008-000062	Air Filter	$7.50
TAW15CRE19	8	210736566		Filler Panels Left Rail	$5.16
TAW15CRE19	9	210736743		Filler Panels	$6.24
TAW15CRE19	10	210826835		Top mounting Rail	$8.70
TAW15CRE19	11	210736744		Filler Panels plug	$2.00
TAW15CRE19	19	210901458		Fan Motor	$78.36
TAW15CRE19	28.3	210901411C		Main pcb	$37.48
TAW15CRE19	28.8	210901461		Display PCB	$18.05
TAW15CRE19	29	210901457C		Remote Controller	$7.96
TAW15CRE19	30	210901453A	22007-000069	Power Supply Cord	$38.04
TAW15CRE19	31.1	214148430		Screw  assembly	$4.00
TAW15CRE19	31.2	210736744		Filler Panels plug	$2.00
TAW15CRE19	31.3	210826659		Support Bracket(Left)	$13.68
TAW15CRE19	31.4	210826660		Support Bracket(Right)	$13.68
TAW15CRE19	31.5	210737020		Window Sash seal	$3.00
TAW15CRE19	31.6	210737051		Foam Top window Gasket	$2.00
TAW15CRE19	31.7	210737551		Insulation strip sponge	$6.40
TAW15CRE19	36	210901539		Sensor Assembly	$6.96
TAW15CRE19	48153	1193070510	A2004-000143	screw bag	$4.00
TAW15CRE19	48154	210826603		Sash lock	$2.00
TAW15CRE19	48155	210826661		Sill Angel Bracket	$3.28
TAW15CRE19	48158	211800128		Gasket	$0.50
20D1		210703297 	41214-001058	Seal	$2.00
20D1		81072000026E		Bucket	$18.58
20D1		210702984		caster, set of four	$3.68
20D1		810700425		Centrifugal fan	$10.00
20D1		81072000027C		Cover of water bucket	$4.41
20D1		810701310A		Drain Hose Cap	$0.60
20D1		210900358		Fan motor	$32.42
20D1		81072000034A		Filter	$10.24
20D1		210703134		Fixer of drainage cover	$2.75
20D1		81071800055D		Float	$2.96
20D1		810700424		Foam of float	$1.00
20D1		81072000035D		Frame	$7.00
20D1		810900236A		Humidity sensor	$15.76
20D1		810900307		Micro-switch	$5.60
20D1		210900346D		Power cord	$17.08
20D1		210703162		Sensor fixer	$2.00
20D1		210900480B		Sensor resistance	$8.00
30D91	1	81072000026E		Water tank assembly	$18.58
30D91	10	810700425		Centrifugal fan	$10.00
30D91	11	210900358		Fan motor	$32.42
30D91	17	210703162		Sensor fixer	$2.00
30D91	18	810900236A		Humidity sensor	$15.76
30D91	20	81072000034A		Filter 	$10.24
30D91	20	81072000035D		Filter fixer	$7.00
30D91	21	810701299A		Cover of drainage hose subassembly	$1.30
30D91	24	1170100044		Fan motor capacitor	$5.68
30D91	26	810900307		Micro-switch	$5.60
30D91	31	210900480B		Sensor resistance	$8.00
30D91	33	210900346D		Power cord	$17.08
30D91	39	210702984		caster, set of four	$3.68
40D91	12	81071800032C		Filter frame	$5.00
40D91	13	81071800033B		Filter	$13.36
40D91	14	810701299A		Drain Cap	$1.30
40D91	19	210900346D		Power cord	$17.08
40D91	23	210703162		Sensor fixer	$2.00
40D91	24	810900236A		Humidity sensor	$15.76
40D91	25	210900480B		Sensor resistance	$8.00
40D91	27	810900307		Micro-switch	$5.60
40D91	33	210702984		caster, set of four	$3.68
40D91	38	814100384D		Water tank 	$20.68
50D1		210703297	41214-001058	Seal	$2.00
50D1		810800096 		Air outlet grill	$9.44
50D1		81071800022C		Bucket	$19.72
50D1		210702984 		caster, set of four	$3.68
50D1		810700435A		Centrifugal fan	$10.00
50D1		81071800029B		Cover of water bucket	$1.00
50D1		810701310A		Drain Hose Cap	$0.60
50D1		81071800033B		Filter	$13.36
50D1		81071800032C		Filter frame	$5.00
50D1		210703134		Fixer of drainage cover	$2.75
50D1		81071800027C		Float	$2.32
50D1		810700424 		Foam of float	$1.00
50D1		81071800026B		Handle of tank	$1.84
50D1		810900236A		Humidity sensor	$15.76
50D1		810900307 		Micro-switch	$5.60
50D1		210900346D		Power cord	$17.08
50D1		210703162 		Sensor fixer	$2.00
50D1		210900480B		Sensor resistance	$8.00
50D91	12	81071800032C		Filter frame	$5.00
50D91	13	81071800033B		Filter	$13.36
50D91	14	810701299A		Drain Cap	$1.30
50D91	19	210900346D		Power cord	$17.08
50D91	23	210703162		Sensor fixer	$2.00
50D91	24	810900236A		Humidity sensor	$15.76
50D91	25	210900480B		Sensor resistance	$8.00
50D91	27	810900307		Micro-switch	$5.60
50D91	33	210702984		caster, set of four	$3.68
50D91	38	814100384D		Bucket, White	$20.68
50D91-B	12	81071800032D		Filter frame	$7.00
50D91-B	13	81071800033C		Filter	$4.16
50D91-B	14	810701299C		Drain Cap	$1.30
50D91-B	23	210703162		Sensor fixer	$2.00
50D91-B	24	810900236A		Humidity sensor	$15.76
50D91-B	25	210900480B		Sensor resistance	$8.00
50D91-B	27	810900307		Micro-switch	$5.60
50D91-B	33	210702984		caster, set of four	$3.68
50D91-B	38	814100384E		Bucket, Black	$20.68
50DP1		22015-000016	210900349 	Pump	$16.00
50DP1		210703297	41214-001058	Seal	$2.00
50DP1		810800096 		Air outlet grill	$9.44
50DP1		81071800022C		Bucket	$19.72
50DP1		210702984 		caster, set of four	$3.68
50DP1		810700435A		Centrifugal fan	$10.00
50DP1		81071800029B		Cover of water bucket	$1.00
50DP1		810701310A		Drain Hose Cap	$0.60
50DP1		810700291 		Drain Tube 16'	$6.00
50DP1		210702989 		Drainage of pump	$2.50
50DP1		81071800033B		Filter	$13.36
50DP1		81071800032C		Filter frame	$5.00
50DP1		210703200 		Filter of pump	$2.85
50DP1		210703134		Fixer of drainage cover	$2.75
50DP1		81071800027C		Float	$2.32
50DP1		810700424 		Foam of float	$1.00
50DP1		81071800026B		Handle of tank	$1.84
50DP1		810900236A		Humidity sensor	$15.76
50DP1		810900307 		Micro-switch	$5.60
50DP1		210900346D		Power cord	$17.08
50DP1		210703162 		Sensor fixer	$2.00
50DP1		210900480B		Sensor resistance	$8.00
50DP1		210703296F	41214-001000	Drain Hose Adapter	$3.30
DEA20ES		210703297	41214-001058	Gasket	$2.00
DEA20ES		210702984		caster, set of four	$3.68
DEA20ES		810700425		Centrifugal fan	$10.00
DEA20ES		81072000027C		Cover of water bucket	$4.41
DEA20ES		210703134		Drain Cap Tether	$2.75
DEA20ES		810701310A		Drain hose Cap	$0.60
DEA20ES		210900358		Fan motor	$32.42
DEA20ES		81072000034A		Filter	$10.24
DEA20ES		81071800055D		Float	$2.96
DEA20ES		810700424		Foam of float	$1.00
DEA20ES		81072000035D		Frame	$7.00
DEA20ES		810900236A		Humidity sensor	$15.76
DEA20ES		810900307		Micro-switch	$5.60
DEA20ES		210900346D		Power cord	$17.08
DEA20ES		210703162		Sensor fixer	$2.00
DEA20ES		210900480B		Sensor resistance	$8.00
DEA20ES		81072000026E		water bucket 	$18.58
DEA30E		22015-000016	210900349 	Pump	$16.00
DEA30E		210703297	41214-001058	Gasket of Cap	$2.00
DEA30E		81072000028C		Bucket	$15.00
DEA30E		81071800026C		Bucket Handle	$1.36
DEA30E		210702984		caster, set of four	$3.68
DEA30E		810700425		Centrifugal fan	$10.00
DEA30E		81072000027B		Cover of water bucket	$4.95
DEA30E		210703134		Drain Cap Tether	$2.75
DEA30E		214106113B		Drain Hose Cap	$0.35
DEA30E		210900358		Fan motor	$32.42
DEA30E		81071800055B		Float	$2.96
DEA30E		810700424		Foam of float	$1.00
DEA30E		810900236		Humidity sensor	$16.64
DEA30E		810900307		Micro-switch	$5.60
DEA30E		210703162		Sensor fixer	$2.00
DEA30ES		210703297	41214-001058	Gasket	$2.00
DEA30ES		210702984		caster, set of four	$3.68
DEA30ES		810700425		Centrifugal fan	$10.00
DEA30ES		81072000027C		Cover of water bucket	$4.41
DEA30ES		210703134		Drain Cap Tether	$2.75
DEA30ES		810701310A		Drain hose Cap	$0.60
DEA30ES		210900358		Fan motor	$32.42
DEA30ES		81072000034A		Filter	$10.24
DEA30ES		81071800055D		Float	$2.96
DEA30ES		810700424		Foam of float	$1.00
DEA30ES		81072000035D		Frame	$7.00
DEA30ES		810900236A		Humidity sensor	$15.76
DEA30ES		810900307		Micro-switch	$5.60
DEA30ES		210900346D		Power cord	$17.08
DEA30ES		210703162		Sensor fixer	$2.00
DEA30ES		210900480B		Sensor resistance	$8.00
DEA30ES		81072000026E		water bucket 	$18.58
DEA45E		210703297	41214-001058	Gasket of Cap	$2.00
DEA45E		81072000028C		Bucket	$15.00
DEA45E		210702984		caster, set of four	$3.68
DEA45E		810700425		Centrifugal fan	$10.00
DEA45E		81072000027B		Cover of water bucket	$4.95
DEA45E		210703134		Drain Cap Tether	$2.75
DEA45E		214106113B		Drain Hose Cap	$0.35
DEA45E		210900358		Fan motor	$32.42
DEA45E		81072000034A		Filter	$10.24
DEA45E		81071800055B		Float	$2.96
DEA45E		810700424		Foam of float	$1.00
DEA45E		81072000035C		Frame	$6.88
DEA45E		810900236		Humidity sensor	$16.64
DEA45E		810900307		Micro-switch	$5.60
DEA45E		210703162		Sensor fixer	$2.00
DEA45E		210900480A		Sensor resistance	$10.02
DEA50E		210703297	41214-001058	Gasket of Cap	$2.00
DEA50E		81072000028C		Bucket	$15.00
DEA50E		210702984		caster, set of four	$3.68
DEA50E		810700425		Centrifugal fan	$10.00
DEA50E		81072000027B		Cover of water bucket	$4.95
DEA50E		210703134		Drain Cap Tether	$2.75
DEA50E		214106113B		Drain Hose Cap	$0.35
DEA50E		210900358		Fan motor	$32.42
DEA50E		81072000034A		Filter	$10.24
DEA50E		81071800055B		Float	$2.96
DEA50E		810700424		Foam of float	$1.00
DEA50E		81072000035C		Frame	$6.88
DEA50E		810900236		Humidity sensor	$16.64
DEA50E		810900307		Micro-switch	$5.60
DEA50E		210703162		Sensor fixer	$2.00
DEA50E		210900480A		Sensor resistance	$10.02
DEA50ES		810800096		Air outlet grill	$9.44
DEA50ES		210702984		caster, set of four	$3.68
DEA50ES		810700435A		Centrifugal fan	$10.00
DEA50ES		81071800029B		Cover of water bucket	$1.00
DEA50ES		810701299A		Drain Hose Cap	$1.30
DEA50ES		81071800033B		Filter	$13.36
DEA50ES		81071800032C		Filter frame	$5.00
DEA50ES		81071800027C		Float	$2.32
DEA50ES		810700424		Foam of float	$1.00
DEA50ES		81071800026B		Handle of tank	$1.84
DEA50ES		810900236A		Humidity sensor	$15.76
DEA50ES		810900307		Micro-switch	$5.60
DEA50ES		210900346D		Power cord	$17.08
DEA50ES		210703162		Sensor fixer	$2.00
DEA50ES		210900480B		Sensor resistance	$8.00
DEA50ES		81071800022C		water bucket	$19.72
DEA70E		210703297	41214-001058	Gasket of Cap	$2.00
DEA70E		810800096		Air outlet grill	$9.44
DEA70E		81071800022B		Bucket	$20.00
DEA70E		210702984		caster, set of four	$3.68
DEA70E		810700435A		Centrifugal fan	$10.00
DEA70E		211206771		Condensor	$52.16
DEA70E		210703134		Drain Cap Tether	$2.75
DEA70E		214106113B		Drain Hose Cap	$0.35
DEA70E		211206770		Evaporator	$55.40
DEA70E		81071800033B		Filter	$13.36
DEA70E		81071800027B		Float	$2.72
DEA70E		810700424		Foam of float	$1.00
DEA70E		810900236		Humidity sensor	$16.64
DEA70E		810900307		Micro-switch	$5.60
DEA70E		81071800034B		Rear panel	$5.00
DEA70E		210703162		Sensor fixer	$2.00
DEA70E		210900480A		Sensor resistance	$10.02
DEA70EP		22015-000016	210900349 	Pump	$16.00
DEA70EP		210703297	41214-001058	Gasket	$2.00
DEA70EP		810800096		Air outlet grill	$9.44
DEA70EP		81071800022B		Bucket	$20.00
DEA70EP		81071800026A		Bucket Handle	$1.00
DEA70EP		210702984		caster, set of four	$3.68
DEA70EP		810700435A		Centrifugal fan	$10.00
DEA70EP		211206771		Condensor	$52.16
DEA70EP		210703134		Drain Cap Tether	$2.75
DEA70EP		210702990F		Drain Hose Adapter, Black	$1.05
DEA70EP		210702990C		Drain hose adapter, White	$1.05
DEA70EP		214106113B		Drain Hose Cap	$0.35
DEA70EP		810700291		Drain Tube 16'	$6.00
DEA70EP		210702989		Drainage of pump	$2.50
DEA70EP		211206770		Evaporator	$55.40
DEA70EP		81071800033B		Filter	$13.36
DEA70EP		210703200		Filter of pump	$2.85
DEA70EP		81071800027B		Float	$2.72
DEA70EP		810700424		Foam of float	$1.00
DEA70EP		810900236		Humidity sensor	$16.64
DEA70EP		810900307		Micro-switch	$5.60
DEA70EP		81071800034B		Rear panel	$5.00
DEA70EP		210703162		Sensor fixer	$2.00
DEA70EP		210900480A		Sensor resistance	$10.02
TDW20E20		210703297	41214-001058	Seal	$2.00
TDW20E20		81072000026E		Bucket	$18.58
TDW20E20		210702984		caster, set of four	$3.68
TDW20E20		810700425		Centrifugal fan	$10.00
TDW20E20		81072000027C		Cover of water bucket	$4.41
TDW20E20		810701310A		Drain Hose Cap	$0.60
TDW20E20		210900358		Fan motor	$32.42
TDW20E20		81072000034A		Filter	$10.24
TDW20E20		210703134		Fixer of drainage cover	$2.75
TDW20E20		81071800055D		Float	$2.96
TDW20E20		810700424		Foam of float	$1.00
TDW20E20		81072000035D		Frame	$7.00
TDW20E20		810900236A		Humidity sensor	$15.76
TDW20E20		810900307		Micro-switch	$5.60
TDW20E20		210900346D		Power cord	$17.08
TDW20E20		210703162		Sensor fixer	$2.00
TDW20E20		210900480B		Sensor resistance	$8.00
TDW30E19		210703297	41214-001058	Seal	$2.00
TDW30E19		81072000026E		Bucket	$18.58
TDW30E19		210702984		caster, set of four	$3.68
TDW30E19		810700425		Centrifugal fan	$10.00
TDW30E19		81072000027C		Cover of water bucket	$4.41
TDW30E19		210703134		Drain Cap Tether	$2.75
TDW30E19		214106113B		Drain hose Cap	$0.35
TDW30E19		210900358		Fan motor	$32.42
TDW30E19		81072000034A		Filter	$10.24
TDW30E19		81071800055D		Float	$2.96
TDW30E19		810700424		Foam of float	$1.00
TDW30E19		81072000035D		Frame	$7.00
TDW30E19		810900236A		Humidity sensor	$15.76
TDW30E19		810900307		Micro-switch	$5.60
TDW30E19		210900346D		Power cord	$17.08
TDW30E19		210703162		Sensor fixer	$2.00
TDW30E19		210900480A		Sensor resistance	$10.02
TDW40E20		810800096 		Air outlet grill	$9.44
TDW40E20		814100384D		Bucket	$20.68
TDW40E20		81071800026B		Bucket Handle	$1.84
TDW40E20		210702984 		caster, set of four	$3.68
TDW40E20		810700435A		Centrifugal fan	$10.00
TDW40E20		81071800029B		Cover of water bucket	$1.00
TDW40E20		810701299A		Drain Hose Cap	$1.30
TDW40E20		81071800033B		Filter	$13.36
TDW40E20		81071800032C		Filter frame	$5.00
TDW40E20		81071800027C		Float	$2.32
TDW40E20		810700424 		Foam of float	$1.00
TDW40E20		810900236A		Humidity sensor	$15.76
TDW40E20		810900307 		Micro-switch	$5.60
TDW40E20		210900346D		Power cord	$17.08
TDW40E20		210703162 		Sensor fixer	$2.00
TDW40E20		210900480B		Sensor resistance	$8.00
TDW50E19		210703297	41214-001058	Seal	$2.00
TDW50E19		81072000026E		Bucket	$18.58
TDW50E19		210702984		caster, set of four	$3.68
TDW50E19		810700425		Centrifugal fan	$10.00
TDW50E19		81072000027C		Cover of water bucket	$4.41
TDW50E19		210703134		Drain Cap Tether	$2.75
TDW50E19		214106113B		Drain hose Cap	$0.35
TDW50E19		210900358		Fan motor	$32.42
TDW50E19		81072000034A		Filter	$10.24
TDW50E19		81071800055D		Float	$2.96
TDW50E19		810700424		Foam of float	$1.00
TDW50E19		81072000035D		Frame	$7.00
TDW50E19		810900236A		Humidity sensor	$15.76
TDW50E19		810900307		Micro-switch	$5.60
TDW50E19		210900346D		Power cord	$17.08
TDW50E19		210703162		Sensor fixer	$2.00
TDW50E19		210900480A		Sensor resistance	$10.02
TDW50EP20		22015-000016	210900349 	Pump	$16.00
TDW50EP20		41214-001000	210703296H	Drain Hose Adapter, Black	$1.00
TDW50EP20		810800096 		Air outlet grill	$9.44
TDW50EP20		814100384E		Bucket	$20.68
TDW50EP20		81071800026C		Bucket Handle	$1.36
TDW50EP20		210702984 		caster, set of four	$3.68
TDW50EP20		810700435A		Centrifugal fan	$10.00
TDW50EP20		81071800029D		Cover of water bucket	$4.56
TDW50EP20		810701299C		Drain Hose Cap	$1.30
TDW50EP20		810700291 		Drain Tube 16'	$6.00
TDW50EP20		210702989 		Drainage of pump	$2.50
TDW50EP20		81071800033C		Filter	$4.16
TDW50EP20		81071800032D		Filter frame	$7.00
TDW50EP20		210703200 		Filter of pump	$2.85
TDW50EP20		81071800027D		Float	$2.24
TDW50EP20		810700424 		Foam of float	$1.00
TDW50EP20		810900236A		Humidity sensor	$15.76
TDW50EP20		810900307 		Micro-switch	$5.60
TDW50EP20		210703162 		Sensor fixer	$2.00
TDW50EP20		210900480B		Sensor resistance	$8.00
TDW70EPB19		22015-000016	210900349 	Pump	$16.00
TDW70EPB19		210703297	41214-001058	Drain adapter Gasket	$2.00
TDW70EPB19		810800096		Air outlet grill	$9.44
TDW70EPB19		81071800026C		Bucket Handle	$1.36
TDW70EPB19		81071800022E		Bucket, no accessories	$23.38
TDW70EPB19		210702984		caster, set of four	$3.68
TDW70EPB19		810700435A		Centrifugal fan	$10.00
TDW70EPB19		81071800029D		Cover of water bucket	$4.56
TDW70EPB19		81071800029B		Cover of water bucket WHITE	$1.00
TDW70EPB19		210703134		Drain Cap Tether	$2.75
TDW70EPB19		210702990F		Drain Hose Adapter, Black	$1.05
TDW70EPB19		810701052L		Drain Hose Cap assembly	$1.36
TDW70EPB19		810700291		Drain Tube 16'	$6.00
TDW70EPB19		210702989		Drainage of pump	$2.50
TDW70EPB19		81071800033C		Filter	$4.16
TDW70EPB19		210703200		Filter of pump	$2.85
TDW70EPB19		81071800027D		Float	$2.24
TDW70EPB19		810700424		Foam of float	$1.00
TDW70EPB19		81071800032D		Frame	$7.00
TDW70EPB19		810900236A		Humidity sensor	$15.76
TDW70EPB19		810900307		Micro-switch	$5.60
TDW70EPB19		210703162		Sensor fixer	$2.00
TDW70EPB19		210900480A		Sensor resistance	$10.02
10P33		810701160 		caster, set of four	$3.92
10P33		810701299A		Drain Hose Cap	$1.30
10P33		810701558 		Exhaust Hose	$9.00
10P33		810701456 		Filter of evaporator	$12.96
10P33		GSK5-6K		Window Foam Insulation Strips	$4.00
10P33		810701457 		Hose inlet, 6"	$4.86
10P33		810701090 		Hose outlet, oval	$4.86
10P33		810900443B		Power cord	$34.36
10P33		810900614A		Remote controller UYKQ-90	$9.81
10P33		1175032007 		Sensor resistance	$8.04
10P33		810700027 		Stopper	$1.54
10P33		810700746A		Window slider, oval	$17.40
10P34C	7	1175032001B		Step motor	$21.60
10P34C	10	810900559A		Display board	$34.28
10P34C	33	1175032007	92007-005463	Sensor resistance	$8.04
10P34C	50	810701898B		Cover of stopper	$0.32
10P34C	51	810701900 		Stopper	$2.00
10P34C	52	810701996 		Filter of condenser	$8.00
10P34C	53	810701994 		Grid of condenser	$11.28
10P34C	55	810701299A		Drain Cap	$1.30
10P34C	57	814101769 		Grid of evaporator	$21.60
10P34C	58	810900093 		Power cord	$37.74
10P34C	59	810700928 		Drain Tube	$6.30
10P34C	60	810900614A		Remote controller UYKQ-90	$9.81
10P34C	62	1075032001A		Exhaust Hose	$9.00
10P34C	63	810701090 		Hose outlet	$4.86
10P34C	64	810701997 		Hose inlet	$5.82
10P34C	65	810700746A		Window slider	$17.40
10P34C	67	811202370E		Discharge pipe	$17.64
10P34C	68	811202371 		Suction pipe	$40.72
10P34C	(49-1)	810701160 		caster, set of four	$3.92
10P34C	*	810701637 		No-hole window slider, 2 piece	$15.00
10P34C		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
10P93	11	810900614A		Remote controller UYKQ-90	$9.81
10P93	35	810900443B		Power cord	$34.36
10P93	47	810701900 		Stopper	$2.00
10P93	48	810701160 		caster, set of four	$3.92
10P93	51	810701456 		Filter of evaporator	$12.96
10P93	52	810701299A		Drain Cap	$1.30
10P93	54	1175032007	92007-005463	Sensor resistance	$8.04
10P93	57	810701457 		Hose inlet	$4.86
10P93	58	810701090 		Hose outlet	$4.86
10P93	59	810700746A		Window slider	$17.40
10P93	60	810701558 		Hose pipe	$9.00
10P93	*	810701637 		No-hole window slider, 2 piece	$15.00
10P93		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
10P94C	7	1175032001B	/	Step motor	$21.60
10P94C	10	810900559A	/	Display board	$34.28
10P94C	33	1175032007	92007-005463	Sensor resistance	$8.04
10P94C	38	810900458H		WiFi module	$16.42
10P94C	50	810701898B		Cover of stopper	$0.32
10P94C	51	810701900		Stopper	$2.00
10P94C	52	810701996	/	Filter of condenser	$8.00
10P94C	53	810701994	/	Grid of condenser	$11.28
10P94C	55	810701299A		Drain cap	$1.30
10P94C	57	814101769	/	Grid of evaporator	$21.60
10P94C	58	810900093	/	Power cord	$37.74
10P94C	59	810700928	/	Drain Tube	$6.30
10P94C	60	810900614A		Remote controller UYKQ-90	$9.81
10P94C	62	1075032001A		Exhaust Hose	$9.00
10P94C	63	810701090	/	Hose outlet	$4.86
10P94C	64	810701997	/	Hose inlet	$5.82
10P94C	65	810700746A	/	Window slider	$17.40
10P94C	67	811202370E	/	Discharge pipe	$17.64
10P94C	68	811202371	/	Suction pipe	$40.72
10P94C	(49-1)	810701160	/	caster	$3.92
10P94C	*	810701637	/	No-hole window slider	$15.00
10PH34C	7	1175032001B		Step motor	$21.60
10PH34C	10	810900559A		Display board	$34.28
10PH34C	33	1175032007	92007-005463	Sensor resistance	$8.04
10PH34C	50	810701898B		Cover of stopper	$0.32
10PH34C	51	810701900 		Stopper	$2.00
10PH34C	52	810701996 		Filter of condenser	$8.00
10PH34C	53	810701994 		Grid of condenser	$11.28
10PH34C	55	810701299A		Drain Cap	$1.30
10PH34C	57	814101769 		Grid of evaporator	$21.60
10PH34C	58	810900093 		Power cord	$37.74
10PH34C	59	810700928 		Drain Tube	$6.30
10PH34C	60	810900614A		Remote controller UYKQ-90	$9.81
10PH34C	62	1075032001A		Exhaust Hose	$9.00
10PH34C	63	810701090 		Hose outlet	$4.86
10PH34C	64	810701997 		Hose inlet	$5.82
10PH34C	65	810700746A		Window slider	$17.40
10PH34C	(49-1)	810701160 		caster, set of four	$3.92
10PH34C	*	810701637 		No-hole window slider, 2 piece	$15.00
10PH34C		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
10PH94C	7	1175032001B	/	Step motor	$21.60
10PH94C	10	810900559A	/	Display board	$34.28
10PH94C	33	1175032007	92007-005463	Sensor resistance	$8.04
10PH94C	38	810900458H		WiFi module	$16.42
10PH94C	50	810701898B		Cover of stopper	$0.32
10PH94C	51	810701900		Stopper	$2.00
10PH94C	52	810701996	/	Filter of condenser	$8.00
10PH94C	53	810701994	/	Grid of condenser	$11.28
10PH94C	55	810701299A		Drain cap	$1.30
10PH94C	57	814101769	/	Grid of evaporator	$21.60
10PH94C	58	810900093	/	Power cord	$37.74
10PH94C	59	810700928	/	Drain Tube	$6.30
10PH94C	60	810900614A		Remote controller UYKQ-90	$9.81
10PH94C	62	1075032001A		Exhaust Hose	$9.00
10PH94C	63	810701090	/	Hose outlet	$4.86
10PH94C	64	810701997	/	Hose inlet	$5.82
10PH94C	65	810700746A	/	Window slider	$17.40
10PH94C	(49-1)	810701160	/	caster	$3.92
10PH94C	*	810701637	/	No-hole window slider	$15.00
12P32		210703297	41214-001058	Seal	$2.00
12P32		810701160		caster, set of four	$3.92
12P32		214106113B		Drain Hose Cap	$0.35
12P32		1075032001A		Exhaust Hose	$9.00
12P32		810700491		Filter of evaporator	$5.36
12P32		210703134		Fixer of drainage cover	$2.75
12P32		GSK5-6K		Window Foam Insulation Strips	$4.00
12P32		810700490C		Grill of evaporator	$13.52
12P32		810701089		Hose inlet	$3.60
12P32		810701090		Hose outlet, oval	$4.86
12P32		810900468		Power cord	$32.88
12P32		810900614A		Remote controller UYKQ-90	$9.81
12P32		1175032007		Sensor resistance	$8.04
12P32		1175032001B		Step motor	$21.60
12P32		810700027		Stopper	$1.54
12P32		1075110004AA		Window slider kit, oval	$15.08
12P92	23	1175032007	92007-005463	Sensor resistance	$8.04
12P92	42	810701160		caster, set of four	$3.92
12P92	44	810700027		Stopper	$1.54
12P92	50	810700491		Filter of evaporator	$5.36
12P92	51	810700490C		Grill of evaporator	$13.52
12P92	53	214106113B		Drain Cap	$0.35
12P92	55	210703134		Fixer of drainage cover	$2.75
12P92	56	1075032001A		Exhaust Hose	$9.00
12P92	57	810701089		Hose inlet	$3.60
12P92	58	1075110004AA	41214-001071	Window slider kit, oval	$15.08
12P92	59	810701090		Hose outlet	$4.86
12P92	61	810900614A		Remote controller UYKQ-90	$9.81
12P92	62	810900468		Power cord	$32.88
12P92	*	810700928		Drain Tube	$6.30
12P92	*	8070090001A		No-hole window slider	$10.00
12P92	*	810900458		WiFi module	$14.08
12P92		FPKW5-6K		Filler Panel Kit White 5-6K	$6.00
12PH32	6	1175032001B		Step motor	$21.60
12PH32	15	1170100044		Fan motor capacitor 4μF	$5.68
12PH32	18	810900614A		Remote controller UYKQ-90	$9.81
12PH32	23	810700228		Centrifugal fan	$10.00
12PH32	31	1175032007	92007-005463	Sensor resistance	$8.04
12PH32	35	810700502H		Evaporator grill subassembly	$16.88
12PH32	36	810701052B		Cover of drainage hose subassembly	$0.85
12PH32	45	810700027		Stopper	$1.54
